| ref | iter | err    | 
| 1   | 0    | 0.0173 | 
| 1   | 1    | 0.0166 | 
| 1   | 2    | 0.0166 | 
| 1   | 3    | 0.0166 | 
| 1   | 4    | 0.0166 | 
| 1   | 5    | 0.0166 | 
| 1   | 6    | 0.0166 | 
| 1   | 7    | 0.0166 | 
| 1   | 8    | 0.0166 | 
| 1   | 9    | 0.0166 | 
| 2   | 0    | 0.0174 | 
| 2   | 1    | 0.0112 | 
| 2   | 2    | 0.0091 | 
| 2   | 3    | 0.0062 | 
| 2   | 4    | 0.0064 | 
| 2   | 5    | 0.0044 | 
| 2   | 6    | 0.0051 | 
| 2   | 7    | 0.0037 | 
| 2   | 8    | 0.0044 | 
| 2   | 9    | 0.0035 | 
| 3   | 0    | 0.0174 | 
| 3   | 1    | 0.0120 | 
| 3   | 2    | 0.0086 | 
| 3   | 3    | 0.0058 | 
| 3   | 4    | 0.0053 | 
| 3   | 5    | 0.0034 | 
| 3   | 6    | 0.0037 | 
| 3   | 7    | 0.0023 | 
| 3   | 8    | 0.0028 | 
| 3   | 9    | 0.0017 | 
| 4   | 0    | 0.0174 | 
| 4   | 1    | 0.0123 | 
| 4   | 2    | 0.0084 | 
| 4   | 3    | 0.0059 | 
| 4   | 4    | 0.0049 | 
| 4   | 5    | 0.0034 | 
| 4   | 6    | 0.0033 | 
| 4   | 7    | 0.0022 | 
| 4   | 8    | 0.0024 | 
| 4   | 9    | 0.0016 | 
| 5   | 0    | 0.0174 | 
| 5   | 1    | 0.0124 | 
| 5   | 2    | 0.0084 | 
| 5   | 3    | 0.0059 | 
| 5   | 4    | 0.0048 | 
| 5   | 5    | 0.0034 | 
| 5   | 6    | 0.0032 | 
| 5   | 7    | 0.0022 | 
| 5   | 8    | 0.0022 | 
| 5   | 9    | 0.0016 | 
