X,Y,Z
0,0.017358,0.0998978
0,0.0825024,0.0965966
0,0.167498,0.0865353
0,0.232642,0.0744136
0.25,0.017358,0.0706384
0.25,0.0825024,0.0683041
0.25,0.167498,0.0611897
0.25,0.232642,0.0526184
0.017358,0,0.0998978
0.0825024,0,0.0965966
0.167498,0,0.0865353
0.232642,0,0.0744136
0.017358,0.25,0.0706384
0.0825024,0.25,0.0683041
0.167498,0.25,0.0611897
0.232642,0.25,0.0526184
0.25,0.017358,0.0706384
0.25,0.0825024,0.0683041
0.25,0.167498,0.0611897
0.25,0.232642,0.0526184
0.5,0.017358,-0.000000000260132
0.5,0.0825024,-0.000000000159865
0.5,0.167498,0
0.5,0.232642,0
0.267358,0,0.0668632
0.332502,0,0.0500729
0.417498,0,0.0257828
0.482642,0,0.00533895
0.267358,0.25,0.0472794
0.332502,0.25,0.0354069
0.417498,0.25,0.0182312
0.482642,0.25,0.00377521
0,0.267358,0.0668632
0,0.332502,0.0500729
0,0.417498,0.0257828
0,0.482642,0.00533895
0.25,0.267358,0.0472794
0.25,0.332502,0.0354069
0.25,0.417498,0.0182312
0.25,0.482642,0.00377521
0.017358,0.25,0.0706384
0.0825024,0.25,0.0683041
0.167498,0.25,0.0611897
0.232642,0.25,0.0526184
0.017358,0.5,0.000000000200367
0.0825024,0.5,0.000000000131169
0.167498,0.5,0.000000000130531
0.232642,0.5,0.000000000198752
0.25,0.267358,0.0472794
0.25,0.332502,0.0354069
0.25,0.417498,0.0182312
0.25,0.482642,0.00377521
0.5,0.267358,0
0.5,0.332502,0
0.5,0.417498,0
0.5,0.482642,0
0.267358,0.25,0.0472794
0.332502,0.25,0.0354069
0.417498,0.25,0.0182312
0.482642,0.25,0.00377521
0.267358,0.5,0.000000000181116
0.332502,0.5,0
0.417498,0.5,0
0.482642,0.5,-0.000000000102659
0.5,0.017358,-0.000000000260132
0.5,0.0825024,-0.000000000159865
0.5,0.167498,0
0.5,0.232642,0
0.75,0.017358,-0.0706384
0.75,0.0825024,-0.0683041
0.75,0.167498,-0.0611897
0.75,0.232642,-0.0526184
0.517358,0,-0.00533895
0.582502,0,-0.0257828
0.667498,0,-0.0500729
0.732642,0,-0.0668632
0.517358,0.25,-0.00377521
0.582502,0.25,-0.0182312
0.667498,0.25,-0.0354069
0.732642,0.25,-0.0472794
0.75,0.017358,-0.0706384
0.75,0.0825024,-0.0683041
0.75,0.167498,-0.0611897
0.75,0.232642,-0.0526184
1,0.017358,-0.0998978
1,0.0825024,-0.0965966
1,0.167498,-0.0865353
1,0.232642,-0.0744136
0.767358,0,-0.0744136
0.832502,0,-0.0865353
0.917498,0,-0.0965966
0.982642,0,-0.0998978
0.767358,0.25,-0.0526184
0.832502,0.25,-0.0611897
0.917498,0.25,-0.0683041
0.982642,0.25,-0.0706384
0.5,0.267358,0
0.5,0.332502,0
0.5,0.417498,0
0.5,0.482642,0
0.75,0.267358,-0.0472794
0.75,0.332502,-0.0354069
0.75,0.417498,-0.0182312
0.75,0.482642,-0.00377521
0.517358,0.25,-0.00377521
0.582502,0.25,-0.0182312
0.667498,0.25,-0.0354069
0.732642,0.25,-0.0472794
0.517358,0.5,0
0.582502,0.5,0
0.667498,0.5,0
0.732642,0.5,0.000000000179214
0.75,0.267358,-0.0472794
0.75,0.332502,-0.0354069
0.75,0.417498,-0.0182312
0.75,0.482642,-0.00377521
1,0.267358,-0.0668632
1,0.332502,-0.0500729
1,0.417498,-0.0257828
1,0.482642,-0.00533895
0.767358,0.25,-0.0526184
0.832502,0.25,-0.0611897
