X,Y,Z
0.017358,0.017358,0.0997955
0.0825024,0.017358,0.0964977
0.167498,0.017358,0.0864467
0.232642,0.017358,0.0743374
0.017358,0.0825024,0.0964977
0.0825024,0.0825024,0.0933088
0.167498,0.0825024,0.08359
0.232642,0.0825024,0.0718809
0.017358,0.167498,0.0864467
0.0825024,0.167498,0.08359
0.167498,0.167498,0.0748834
0.232642,0.167498,0.0643939
0.017358,0.232642,0.0743374
0.0825024,0.232642,0.0718809
0.167498,0.232642,0.0643939
0.232642,0.232642,0.0553737
0.267358,0.017358,0.0667947
0.332502,0.017358,0.0500216
0.417498,0.017358,0.0257564
0.482642,0.017358,0.00533348
0.267358,0.0825024,0.0645874
0.332502,0.0825024,0.0483686
0.417498,0.0825024,0.0249053
0.482642,0.0825024,0.00515723
0.267358,0.167498,0.0578602
0.332502,0.167498,0.0433307
0.417498,0.167498,0.0223112
0.482642,0.167498,0.00462007
0.267358,0.232642,0.0497552
0.332502,0.232642,0.037261
0.417498,0.232642,0.0191859
0.482642,0.232642,0.0039729
0.017358,0.267358,0.0667947
0.0825024,0.267358,0.0645874
0.167498,0.267358,0.0578602
0.232642,0.267358,0.0497552
0.017358,0.332502,0.0500216
0.0825024,0.332502,0.0483686
0.167498,0.332502,0.0433307
0.232642,0.332502,0.037261
0.017358,0.417498,0.0257564
0.0825024,0.417498,0.0249053
0.167498,0.417498,0.0223112
0.232642,0.417498,0.0191859
0.017358,0.482642,0.00533348
0.0825024,0.482642,0.00515723
0.167498,0.482642,0.00462007
0.232642,0.482642,0.0039729
0.267358,0.267358,0.0447068
0.332502,0.267358,0.0334803
0.417498,0.267358,0.0172392
0.482642,0.267358,0.00356979
0.267358,0.332502,0.0334803
0.332502,0.332502,0.0250729
0.417498,0.332502,0.0129102
0.482642,0.332502,0.00267336
0.267358,0.417498,0.0172392
0.332502,0.417498,0.0129102
0.417498,0.417498,0.00664752
0.482642,0.417498,0.00137653
0.267358,0.482642,0.00356979
0.332502,0.482642,0.00267336
0.417498,0.482642,0.00137653
0.482642,0.482642,0.000285043
0.517358,0.017358,-0.00533348
0.582502,0.017358,-0.0257564
0.667498,0.017358,-0.0500216
0.732642,0.017358,-0.0667947
0.517358,0.0825024,-0.00515723
0.582502,0.0825024,-0.0249053
0.667498,0.0825024,-0.0483686
0.732642,0.0825024,-0.0645874
0.517358,0.167498,-0.00462007
0.582502,0.167498,-0.0223112
0.667498,0.167498,-0.0433307
0.732642,0.167498,-0.0578602
0.517358,0.232642,-0.0039729
0.582502,0.232642,-0.0191859
0.667498,0.232642,-0.037261
0.732642,0.232642,-0.0497552
0.767358,0.017358,-0.0743374
0.832502,0.017358,-0.0864467
0.917498,0.017358,-0.0964977
0.982642,0.017358,-0.0997955
0.767358,0.0825024,-0.0718809
0.832502,0.0825024,-0.08359
0.917498,0.0825024,-0.0933088
0.982642,0.0825024,-0.0964977
0.767358,0.167498,-0.0643939
0.832502,0.167498,-0.0748834
0.917498,0.167498,-0.08359
0.982642,0.167498,-0.0864467
0.767358,0.232642,-0.0553737
0.832502,0.232642,-0.0643939
0.917498,0.232642,-0.0718809
0.982642,0.232642,-0.0743374
0.517358,0.267358,-0.00356979
0.582502,0.267358,-0.0172392
0.667498,0.267358,-0.0334803
0.732642,0.267358,-0.0447068
0.517358,0.332502,-0.00267336
0.582502,0.332502,-0.0129102
0.667498,0.332502,-0.0250729
0.732642,0.332502,-0.0334803
0.517358,0.417498,-0.00137653
0.582502,0.417498,-0.00664752
0.667498,0.417498,-0.0129102
0.732642,0.417498,-0.0172392
0.517358,0.482642,-0.000285043
0.582502,0.482642,-0.00137653
0.667498,0.482642,-0.00267336
0.732642,0.482642,-0.00356979
0.767358,0.267358,-0.0497552
0.832502,0.267358,-0.0578602
0.917498,0.267358,-0.0645874
0.982642,0.267358,-0.0667947
0.767358,0.332502,-0.037261
0.832502,0.332502,-0.0433307
0.917498,0.332502,-0.0483686
0.982642,0.332502,-0.0500216
0.767358,0.417498,-0.0191859
0.832502,0.417498,-0.0223112
0.917498,0.417498,-0.0249053
0.982642,0.417498,-0.0257564
0.767358,0.482642,-0.0039729
0.832502,0.482642,-0.00462007
0.917498,0.482642,-0.00515723
0.982642,0.482642,-0.00533348
0.017358,0.517358,-0.00533348
0.0825024,0.517358,-0.00515723
0.167498,0.517358,-0.00462007
0.232642,0.517358,-0.0039729
0.017358,0.582502,-0.0257564
0.0825024,0.582502,-0.0249053
0.167498,0.582502,-0.0223112
0.232642,0.582502,-0.0191859
0.017358,0.667498,-0.0500216
0.0825024,0.667498,-0.0483686
0.167498,0.667498,-0.0433307
0.232642,0.667498,-0.037261
0.017358,0.732642,-0.0667947
0.0825024,0.732642,-0.0645874
0.167498,0.732642,-0.0578602
0.232642,0.732642,-0.0497552
0.267358,0.517358,-0.00356979
0.332502,0.517358,-0.00267336
0.417498,0.517358,-0.00137653
0.482642,0.517358,-0.000285043
0.267358,0.582502,-0.0172392
0.332502,0.582502,-0.0129102
0.417498,0.582502,-0.00664752
0.482642,0.582502,-0.00137653
0.267358,0.667498,-0.0334803
0.332502,0.667498,-0.0250729
0.417498,0.667498,-0.0129102
0.482642,0.667498,-0.00267336
0.267358,0.732642,-0.0447068
0.332502,0.732642,-0.0334803
0.417498,0.732642,-0.0172392
0.482642,0.732642,-0.00356979
0.017358,0.767358,-0.0743374
0.0825024,0.767358,-0.0718809
0.167498,0.767358,-0.0643939
0.232642,0.767358,-0.0553737
0.017358,0.832502,-0.0864467
0.0825024,0.832502,-0.08359
0.167498,0.832502,-0.0748834
0.232642,0.832502,-0.0643939
0.017358,0.917498,-0.0964977
0.0825024,0.917498,-0.0933088
0.167498,0.917498,-0.08359
0.232642,0.917498,-0.0718809
0.017358,0.982642,-0.0997955
0.0825024,0.982642,-0.0964977
0.167498,0.982642,-0.0864467
0.232642,0.982642,-0.0743374
0.267358,0.767358,-0.0497552
0.332502,0.767358,-0.037261
0.417498,0.767358,-0.0191859
0.482642,0.767358,-0.0039729
0.267358,0.832502,-0.0578602
0.332502,0.832502,-0.0433307
0.417498,0.832502,-0.0223112
0.482642,0.832502,-0.00462007
0.267358,0.917498,-0.0645874
0.332502,0.917498,-0.0483686
0.417498,0.917498,-0.0249053
0.482642,0.917498,-0.00515723
0.267358,0.982642,-0.0667947
0.332502,0.982642,-0.0500216
0.417498,0.982642,-0.0257564
0.482642,0.982642,-0.00533348
0.517358,0.517358,0.000285043
0.582502,0.517358,0.00137653
0.667498,0.517358,0.00267336
0.732642,0.517358,0.00356979
0.517358,0.582502,0.00137653
0.582502,0.582502,0.00664752
0.667498,0.582502,0.0129102
0.732642,0.582502,0.0172392
0.517358,0.667498,0.00267336
0.582502,0.667498,0.0129102
0.667498,0.667498,0.0250729
0.732642,0.667498,0.0334803
0.517358,0.732642,0.00356979
0.582502,0.732642,0.0172392
0.667498,0.732642,0.0334803
0.732642,0.732642,0.0447068
0.767358,0.517358,0.0039729
0.832502,0.517358,0.00462007
0.917498,0.517358,0.00515723
0.982642,0.517358,0.00533348
0.767358,0.582502,0.0191859
0.832502,0.582502,0.0223112
0.917498,0.582502,0.0249053
0.982642,0.582502,0.0257564
0.767358,0.667498,0.037261
0.832502,0.667498,0.0433307
0.917498,0.667498,0.0483686
0.982642,0.667498,0.0500216
0.767358,0.732642,0.0497552
0.832502,0.732642,0.0578602
0.917498,0.732642,0.0645874
0.982642,0.732642,0.0667947
0.517358,0.767358,0.0039729
0.582502,0.767358,0.0191859
0.667498,0.767358,0.037261
0.732642,0.767358,0.0497552
0.517358,0.832502,0.00462007
0.582502,0.832502,0.0223112
0.667498,0.832502,0.0433307
0.732642,0.832502,0.0578602
0.517358,0.917498,0.00515723
0.582502,0.917498,0.0249053
0.667498,0.917498,0.0483686
0.732642,0.917498,0.0645874
0.517358,0.982642,0.00533348
0.582502,0.982642,0.0257564
0.667498,0.982642,0.0500216
0.732642,0.982642,0.0667947
0.767358,0.767358,0.0553737
0.832502,0.767358,0.0643939
0.917498,0.767358,0.0718809
0.982642,0.767358,0.0743374
0.767358,0.832502,0.0643939
0.832502,0.832502,0.0748834
0.917498,0.832502,0.08359
0.982642,0.832502,0.0864467
0.767358,0.917498,0.0718809
0.832502,0.917498,0.08359
0.917498,0.917498,0.0933088
0.982642,0.917498,0.0964977
0.767358,0.982642,0.0743374
0.832502,0.982642,0.0864467
0.917498,0.982642,0.0964977
0.982642,0.982642,0.0997955
