| ref | iter | err    | 
| 1   | 0    | 0.0173 | 
| 1   | 1    | 0.0202 | 
| 1   | 2    | 0.0212 | 
| 1   | 3    | 0.0215 | 
| 1   | 4    | 0.0216 | 
| 1   | 5    | 0.0216 | 
| 1   | 6    | 0.0216 | 
| 1   | 7    | 0.0216 | 
| 1   | 8    | 0.0216 | 
| 1   | 9    | 0.0216 | 
| 2   | 0    | 0.0170 | 
| 2   | 1    | 0.0130 | 
| 2   | 2    | 0.0103 | 
| 2   | 3    | 0.0085 | 
| 2   | 4    | 0.0073 | 
| 2   | 5    | 0.0063 | 
| 2   | 6    | 0.0056 | 
| 2   | 7    | 0.0051 | 
| 2   | 8    | 0.0049 | 
| 2   | 9    | 0.0048 | 
| 3   | 0    | 0.0170 | 
| 3   | 1    | 0.0134 | 
| 3   | 2    | 0.0120 | 
| 3   | 3    | 0.0110 | 
| 3   | 4    | 0.0104 | 
| 3   | 5    | 0.0099 | 
| 3   | 6    | 0.0092 | 
| 3   | 7    | 0.0086 | 
| 3   | 8    | 0.0103 | 
| 3   | 9    | 0.0291 | 
| 4   | 0    | 0.0170 | 
| 4   | 1    | 0.0132 | 
| 4   | 2    | 0.0118 | 
| 4   | 3    | 0.0108 | 
| 4   | 4    | 0.0103 | 
| 4   | 5    | 0.0097 | 
| 4   | 6    | 0.0091 | 
| 4   | 7    | 0.0083 | 
| 4   | 8    | 0.0104 | 
| 4   | 9    | 0.0680 | 
| 5   | 0    | 0.0170 | 
| 5   | 1    | 0.0132 | 
| 5   | 2    | 0.0117 | 
| 5   | 3    | 0.0108 | 
| 5   | 4    | 0.0103 | 
| 5   | 5    | 0.0098 | 
| 5   | 6    | 0.0095 | 
| 5   | 7    | 0.0090 | 
| 5   | 8    | 0.0105 | 
| 5   | 9    | 0.1213 | 
