X,Y,Z
0,0.017358,0.0000045516
0,0.0825024,0.0000033215
0,0.167498,0.00000153237
0,0.232642,0.0000000199211
0.25,0.017358,-0.0000127506
0.25,0.0825024,0.00351677
0.25,0.167498,0.0123811
0.25,0.232642,0.0224397
0.017358,0,0.00000455161
0.0825024,0,0.00000332154
0.167498,0,0.00000153257
0.232642,0,0.0000000203426
0.017358,0.25,-0.000012751
0.0825024,0.25,0.00351677
0.167498,0.25,0.0123811
0.232642,0.25,0.0224397
0.25,0.017358,-0.0000127506
0.25,0.0825024,0.00351677
0.25,0.167498,0.0123811
0.25,0.232642,0.0224397
0.5,0.017358,-0.0000300527
0.5,0.0825024,0.00703023
0.5,0.167498,0.0247607
0.5,0.232642,0.0448793
0.267358,0,-0.0000000199183
0.332502,0,-0.00000153219
0.417498,0,-0.00000332111
0.482642,0,-0.00000455106
0.267358,0.25,0.0275603
0.332502,0.25,0.0376189
0.417498,0.25,0.0464832
0.482642,0.25,0.0500128
0,0.267358,-0.0000000203667
0,0.332502,-0.0000015326
0,0.417498,-0.00000332171
0,0.482642,-0.000004552
0.25,0.267358,0.0275603
0.25,0.332502,0.0376189
0.25,0.417498,0.0464832
0.25,0.482642,0.0500128
0.017358,0.25,-0.000012751
0.0825024,0.25,0.00351677
0.167498,0.25,0.0123811
0.232642,0.25,0.0224397
0.017358,0.5,-0.0000300535
0.0825024,0.5,0.00703023
0.167498,0.5,0.0247607
0.232642,0.5,0.0448793
0.25,0.267358,0.0275603
0.25,0.332502,0.0376189
0.25,0.417498,0.0464832
0.25,0.482642,0.0500128
0.5,0.267358,0.0551207
0.5,0.332502,0.0752393
0.5,0.417498,0.0929698
0.5,0.482642,0.10003
0.267358,0.25,0.0275603
0.332502,0.25,0.0376189
0.417498,0.25,0.0464832
0.482642,0.25,0.0500128
0.267358,0.5,0.0551207
0.332502,0.5,0.0752393
0.417498,0.5,0.0929698
0.482642,0.5,0.10003
0.5,0.017358,-0.0000300527
0.5,0.0825024,0.00703023
0.5,0.167498,0.0247607
0.5,0.232642,0.0448793
0.75,0.017358,-0.0000127505
0.75,0.0825024,0.00351677
0.75,0.167498,0.0123811
0.75,0.232642,0.0224397
0.517358,0,-0.00000455107
0.582502,0,-0.00000332111
0.667498,0,-0.00000153214
0.732642,0,-0.000000019774
0.517358,0.25,0.0500128
0.582502,0.25,0.0464832
0.667498,0.25,0.0376189
0.732642,0.25,0.0275603
0.75,0.017358,-0.0000127505
0.75,0.0825024,0.00351677
0.75,0.167498,0.0123811
0.75,0.232642,0.0224397
1,0.017358,0.00000455135
1,0.0825024,0.00000332132
1,0.167498,0.0000015323
1,0.232642,0.0000000199545
0.767358,0,0.0000000204532
0.832502,0,0.00000153249
0.917498,0,0.00000332132
0.982642,0,0.00000455139
0.767358,0.25,0.0224397
0.832502,0.25,0.0123811
0.917498,0.25,0.00351677
0.982642,0.25,-0.0000127509
0.5,0.267358,0.0551207
0.5,0.332502,0.0752393
0.5,0.417498,0.0929698
0.5,0.482642,0.10003
0.75,0.267358,0.0275603
0.75,0.332502,0.0376189
0.75,0.417498,0.0464832
0.75,0.482642,0.0500128
0.517358,0.25,0.0500128
0.582502,0.25,0.0464832
0.667498,0.25,0.0376189
0.732642,0.25,0.0275603
0.517358,0.5,0.10003
0.582502,0.5,0.0929698
0.667498,0.5,0.0752393
0.732642,0.5,0.0551207
0.75,0.267358,0.0275603
0.75,0.332502,0.0376189
0.75,0.417498,0.0464832
0.75,0.482642,0.0500128
1,0.267358,-0.0000000203651
1,0.332502,-0.0000015326
1,0.417498,-0.00000332168
1,0.482642,-0.00000455191
0.767358,0.25,0.0224397
0.832502,0.25,0.0123811
